mlp_type,training_size,predictors,nodes,activation,dropout,optimizer,learning_rate,epochs,MSE,R^2,observed_total_runoff,predicted_total_runoff,proportion_runoff_predicted
N10_random_year,10,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.114820722076539,0.8562135932258405,1113.4932410554404,1115.1166,1.0014578769166649
N11_random_year,11,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,8.661176430659154,0.8633698373918426,1113.4932410554404,1063.1929,0.954826515234154
N12_random_year,12,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,18.241571136537157,0.7122389954105041,1113.4932410554404,644.1422,0.5784877610065268
N13_random_year,13,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.37481941129468,0.8521121107690192,1113.4932410554404,1044.9226,0.9384184554469592
N14_random_year,14,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.27388917673637,0.8221542623250074,1113.4932410554404,894.056,0.8029290141231515
N15_random_year,15,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,8.00132636418666,0.8737789801452456,1113.4932410554404,1077.8843,0.9680204940643035
N16_random_year,16,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.048158839876143,0.8257151611102618,1113.4932410554404,865.45276,0.7772411424506994
N17_random_year,17,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,8.773798270657426,0.8615932265081612,1113.4932410554404,1053.333,0.9459716224357889
N18_random_year,18,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.01492644709609,0.8577894266179289,1113.4932410554404,977.7466,0.8780893731375315
N19_random_year,19,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,8.441692262082206,0.8668322027971276,1113.4932410554404,1046.06,0.93943997145616
N20_random_year,20,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.70921300319935,0.8468370478254528,1113.4932410554404,917.5391,0.8240185837728604
N21_random_year,21,x_t2m_ts_al2,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,8.050602813203561,0.8730016435679534,1113.4932410554404,1232.7737,1.107122734280922
N1_random_year,1,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.947878307722316,0.7957470636029867,1113.4932410554404,900.7877,0.8089745734538434
N2_random_year,2,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,10.593991513211428,0.8328796561635958,1113.4932410554404,1000.03815,0.8981088614644449
N3_random_year,3,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,17.263028488976904,0.7276755174725537,1113.4932410554404,720.2183,0.6468097840191981
N4_random_year,4,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,17.41558834736937,0.7252688838672325,1113.4932410554404,764.9261,0.6869606911136121
N5_random_year,5,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.096873036709363,0.8249466940679453,1113.4932410554404,1112.1448,0.998788977233901
N6_random_year,6,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.36587024718865,0.8207032598297481,1113.4932410554404,980.9053,0.8809261136670529
N7_random_year,7,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,13.856210163894502,0.7814181176215076,1113.4932410554404,894.32166,0.8031675651894771
N8_random_year,8,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.548544798255923,0.8178215665844353,1113.4932410554404,980.66406,0.8807094882502058
N9_random_year,9,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.982813805398983,0.8109709677614386,1113.4932410554404,909.35254,0.8166664201756243
N10_random_year,10,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.871148984162717,0.812732481662612,1113.4932410554404,907.4563,0.8149634549806334
N11_random_year,11,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,16.68457858672761,0.7368005716540189,1113.4932410554404,802.8353,0.7210060174118871
N12_random_year,12,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.335309604951568,0.8211853543294608,1113.4932410554404,1008.1557,0.9053990302877807
N13_random_year,13,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.016855068247038,0.8262089784850923,1113.4932410554404,1006.33325,0.9037623353683384
N14_random_year,14,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.18393888594928,0.8077982171911013,1113.4932410554404,929.1835,0.8344760771057287
N15_random_year,15,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,14.61939518080166,0.769378864779247,1113.4932410554404,812.8312,0.7299830360778471
N16_random_year,16,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,15.572398321053901,0.7543452287528718,1113.4932410554404,830.52454,0.7458729927678662
N17_random_year,17,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,13.553205319004329,0.7861980227025144,1113.4932410554404,846.009,0.7597791715071993
N18_random_year,18,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.165027534870692,0.8080965439823512,1113.4932410554404,907.2232,0.814754119842238
N19_random_year,19,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,13.910072403842635,0.7805684401369914,1113.4932410554404,855.9549,0.768711352219976
N20_random_year,20,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.420203341763392,0.8040711425523559,1113.4932410554404,870.46436,0.7817419301473874
N21_random_year,21,x_t2m_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.980127866895092,0.7952383264182528,1113.4932410554404,859.32275,0.7717359407514038
N1_random_year,1,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,13.228408961702792,0.7913216891545173,1113.4932410554404,867.37366,0.7789662525516635
N2_random_year,2,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.29292264014394,0.8534040333212257,1113.4932410554404,961.7244,0.8637002819684357
N3_random_year,3,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,10.230361878101117,0.8386159180411854,1113.4932410554404,1057.2999,0.9495342115912941
N4_random_year,4,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,17.1043151440808,0.7301792224016529,1113.4932410554404,830.7094,0.7460390247485418
N5_random_year,5,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,11.569738245005487,0.8174872397064641,1113.4932410554404,900.8827,0.8090598642303145
N6_random_year,6,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.783659130907914,0.8456626592633675,1113.4932410554404,916.8128,0.8233662957008766
N7_random_year,7,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,12.344713757209165,0.8052619916587609,1113.4932410554404,880.4811,0.7907376952436513
N8_random_year,8,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.952599560794944,0.8429976219452442,1113.4932410554404,971.8487,0.8727926295506524
N9_random_year,9,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,9.203806351633459,0.8548098438468169,1113.4932410554404,1097.232,0.9853962423912295
N10_random_year,10,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,8.237034445120095,0.8700606823269501,1113.4932410554404,1129.2498,1.0141505257714898
N11_random_year,11,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,10.383106300054303,0.8362063729434688,1113.4932410554404,922.94617,0.8288745121769754
N12_random_year,12,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,10.101583245948929,0.8406474025158724,1113.4932410554404,1019.0218,0.9151575887293999
N13_random_year,13,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,10.873968980648442,0.8284630082395185,1113.4932410554404,1005.847,0.9033256312448514
N14_random_year,14,x_t2m_ts_al2_swd,64,relu,0.2,<class 'keras.src.optimizers.adam.Adam'>,0.001,1000,10.52416937604341,0.8339811012191597,1113.4932410554404,926.93463,0.8324564507181454
