Prediction Site,Model,Training Site,In-situ Cumulative Runoff,MAR Cumulative Runoff,Model Predicted Cumulative Runoff,MSE,normalized MSE,R^2,NSE,Error Rate
2020 North,2015-2016 Rio Behar TL Model,2015-2016 Rio Behar,174.1308892194796,1129.0989428009675,1435.635,163.77678699698177,100.63760822233643,-23.650765905879034,-23.650765905879034,7.244574045424584
2020 North,2008-2016 AK4 TL Model,2008-2016 AK4,174.1308892194796,1129.0989428009675,2165.5798,566.4779875513706,348.08956032836943,-84.26309813502226,-84.26309813502226,11.43650591627552
2020 North,2019-2022 Minturn TL Model,2019-2022 Minturn,174.1308892194796,1129.0989428009675,496.3719,17.244934696160573,10.596672541902823,-1.595611112245471,-1.595611112245471,1.850567693256248
2020 North,2019-2022 North TL Model,2019-2022 North,174.1308892194796,1129.0989428009675,194.02481,5.2291506963106915,3.2132100571772195,0.21293748604498675,0.21293748604498675,0.11424694183041328
2021 North,North MAR Emulator,North,107.36543327092976,1015.8097535093901,998.17365,87.95687981393091,115.51129330860904,-39.56607524466933,-39.56607524466933,8.29697403167651
2021 North,2015-2016 Rio Behar TL Model,2015-2016 Rio Behar,107.36543327092976,1015.8097535093901,1553.4387,132.3768099346641,173.84673662786219,-60.05272997199195,-60.05272997199195,13.468704436586423
2021 North,2008-2016 AK4 TL Model,2008-2016 AK4,107.36543327092976,1015.8097535093901,2102.6523,326.24250821760154,428.4450987367908,-149.4643885090245,-149.4643885090245,18.58407170438266
2021 North,2019-2022 Minturn TL Model,2019-2022 Minturn,107.36543327092976,1015.8097535093901,505.7465,14.190741172660486,18.636300757022983,-5.544828277282715,-5.544828277282715,3.7105150612329476
2021 North,2019-2022 North TL Model,2019-2022 North,107.36543327092976,1015.8097535093901,138.08821,2.351257536244815,3.087840308658105,-0.08440966001383976,-0.08440966001383976,0.28615148146530184
2022 North,North MAR Emulator,North,133.01209853332415,1063.6429764277052,1131.7396,138.17385712112912,118.42396207185868,-53.499254472248,-53.499254472248,7.508546489399965
2022 North,2015-2016 Rio Behar TL Model,2015-2016 Rio Behar,133.01209853332415,1063.6429764277052,1503.8246,168.07004455781197,144.04693475902351,-65.29106488276199,-65.29106488276199,10.30592330730108
2022 North,2008-2016 AK4 TL Model,2008-2016 AK4,133.01209853332415,1063.6429764277052,2285.773,555.5455567669845,476.13859317894514,-218.12118037371303,-218.12118037371303,16.184699545553627
2022 North,2019-2022 Minturn TL Model,2019-2022 Minturn,133.01209853332415,1063.6429764277052,514.84076,17.060147163645084,14.621653203736832,-5.728952357394361,-5.728952357394361,2.870631055026609
2022 North,2019-2022 North TL Model,2019-2022 North,133.01209853332415,1063.6429764277052,183.88708,2.008002722315052,1.7209886383873967,0.20799307752927787,0.20799307752927787,0.38248390175475205
