t2m,ts,al2,swd,date,dailyQ,time,runoff
3.541294,-0.81072444,0.51439345,377.7403,2021-06-18,69659.0026848,2021-06-18,0.314648259155352
5.6791506,-0.62903583,0.50757277,382.16132,2021-06-19,63968.0544864,2021-06-19,0.2889423650920628
3.8900661,-0.727018,0.51271665,382.26996,2021-06-20,66012.7214592,2021-06-20,0.2981780830717626
2.980756,-0.96742755,0.5238418,336.86807,2021-06-21,77672.4050016,2021-06-21,0.3508446299288711
3.7204227,-0.69450504,0.52132934,345.29388,2021-06-22,90483.8897088,2021-06-22,0.40871383857310434
5.9770346,-0.28825077,0.50295836,347.14297,2021-06-23,127276.74158399999,2021-06-23,0.574906381470629
2.8779411,-0.45173335,0.5320077,289.2809,2021-06-24,253191.4665696,2021-06-24,1.1436605624343628
2.1738973,-0.36467227,0.54996175,163.10625,2021-06-25,180474.3990432,2021-06-25,0.8151990883073932
3.028624,-0.3170939,0.52719367,231.52982,2021-06-26,134339.18783039998,2021-06-26,0.606807303550481
2.8409598,-0.3940854,0.5196687,222.13083,2021-06-27,53533.5664032,2021-06-27,0.241810000515839
3.3331454,-0.85469234,0.5068268,365.80258,2021-06-28,37357.3017792,2021-06-28,0.16874215131608963
3.84883,-0.24417461,0.493622,289.26016,2021-06-29,88887.02218560001,2021-06-29,0.4015008213476046
0.7781356,-0.8637991,0.5352992,240.26347,2021-06-30,109180.36673279999,2021-06-30,0.4931654345076425
-0.5000101,-1.364051,0.6259561,174.11563,2021-07-01,33502.8447648,2021-07-01,0.15133164954565964
-1.5740801,-2.4288216,0.67432076,253.22012,2021-07-02,13318.664544000001,2021-07-02,0.06016012936628139
-1.2991103,-1.9703577,0.66475993,256.77646,2021-07-03,7638.6631392,2021-07-03,0.03450368174087988
-1.5765703,-3.1271176,0.6532772,349.50797,2021-07-04,4904.9542656,2021-07-04,0.02215557589721885
2.7719264,-2.873727,0.63728327,377.0129,2021-07-05,6173.899488,2021-07-05,0.02788737494404592
3.3949876,-1.3473799,0.6058964,365.98508,2021-07-06,9718.8407712,2021-07-06,0.04389980062596297
