t2m,ts,al2,swd,date,dailyQ,runoff
-15.080397,-18.319302,0.81689227,12.412941,2009-02-02,0.0,0.0
-4.814505,-8.273667,0.81112677,9.628992,2009-02-03,0.0,0.0
-3.3813334,-6.072255,0.8111483,7.473179,2009-02-04,0.0,0.0
-4.308583,-7.143755,0.81206506,13.468919,2009-02-05,0.0,0.0
-6.9624267,-9.738195,0.81317544,15.1223345,2009-02-06,0.0,0.0
-7.126109,-10.03956,0.8118957,15.079408,2009-02-07,0.0,0.0
-4.6470585,-7.4796705,0.8111603,11.989944,2009-02-08,0.0,0.0
-7.8698034,-11.520721,0.8168664,22.34985,2009-02-09,0.0,0.0
-11.262978,-14.240982,0.8207295,22.98161,2009-02-10,0.0,0.0
-9.388029,-12.578833,0.8225173,24.707705,2009-02-11,0.0,0.0
-7.1055145,-10.262524,0.8164898,20.25386,2009-02-12,0.0,0.0
-9.4694195,-12.341764,0.8194977,27.992748,2009-02-13,0.0,0.0
-14.187223,-16.950361,0.81724334,26.156975,2009-02-14,0.0,0.0
-15.1121235,-18.2642,0.8208706,32.106346,2009-02-15,0.0,0.0
-20.971552,-23.337498,0.81910855,31.359867,2009-02-16,0.0,0.0
-21.206688,-22.603878,0.8133377,26.534382,2009-02-17,0.0,0.0
-23.361958,-24.851147,0.81321,27.73785,2009-02-18,0.0,0.0
-22.90542,-25.093735,0.8169358,39.77871,2009-02-19,0.0,0.0
-28.535189,-30.420296,0.81757784,33.16251,2009-02-20,0.0,0.0
-31.621181,-33.167923,0.81856716,46.799248,2009-02-21,0.0,0.0
-26.314896,-29.167795,0.822008,49.84922,2009-02-22,0.0,0.0
-22.174896,-25.406414,0.82186735,50.667065,2009-02-23,0.0,0.0
-18.65841,-21.594944,0.8164225,48.78035,2009-02-24,0.0,0.0
-13.700734,-15.998919,0.81392324,42.26499,2009-02-25,0.0,0.0
-12.436691,-14.42104,0.8131406,44.36139,2009-02-26,0.0,0.0
-11.466489,-13.169544,0.8131913,37.26045,2009-02-27,0.0,0.0
-17.620636,-19.414825,0.8142463,59.68595,2009-02-28,0.0,0.0
-22.539997,-23.81797,0.8126396,49.642155,2009-03-01,0.0,0.0
-24.029024,-25.174221,0.8123836,45.316162,2009-03-02,0.0,0.0
-24.686874,-25.4971,0.8123609,51.52024,2009-03-03,0.0,0.0
-27.349619,-27.867006,0.8120891,61.447693,2009-03-04,0.0,0.0
-27.261757,-28.027517,0.8133116,43.724243,2009-03-05,0.0,0.0
-14.871606,-17.828354,0.8145691,76.25217,2009-03-06,0.0,0.0
-19.141907,-21.90337,0.8195344,82.5391,2009-03-07,0.0,0.0
-19.606972,-21.84964,0.81451905,84.89705,2009-03-08,0.0,0.0
-20.235271,-22.840336,0.8187945,91.68091,2009-03-09,0.0,0.0
-21.721558,-23.53267,0.81202155,70.70683,2009-03-10,0.0,0.0
-21.70065,-23.467377,0.81169546,73.77017,2009-03-11,0.0,0.0
-17.848642,-20.460949,0.8177228,98.04905,2009-03-12,0.0,0.0
-15.530742,-18.359152,0.8187952,102.365776,2009-03-13,0.0,0.0
-13.199251,-16.363647,0.8186814,104.74151,2009-03-14,0.0,0.0
-15.254431,-17.927288,0.81710017,104.618774,2009-03-15,0.0,0.0
-18.556747,-20.703178,0.81691384,110.53201,2009-03-16,0.0,0.0
